_2020_census_tract,census_id
53011041400,1159641169920
53011041500,1254130450439
53011041600,1451698946054
53011041700,85899345921
53011041800,506806140936
53011041900,1606317768707
53011042000,592705486849
53011042100,446676598785
53011042300,1546188226563
53011042400,292057776131
53011042500,266287972352
53011042601,257698037764
53011042602,4
53011042700,1657857376259
53011042800,1151051235328
53011042900,77309411336
53011043000,678604832777
53011043100,1400159338497
53013960200,1047972020232
53015000400,1486058684424
53015000501,1400159338503
53015000502,1168231104520
53015000601,180388626433
53015000602,360777252870
53015000702,609885356037
53015000703,1554778161160
53015000705,1400159338506
53015000706,154618822665
53015000801,214748364812
53015000802,1090921693188
53015000901,1649267441665
53015000902,541165879304
53015001000,1357209665548
53015001100,1606317768708
53015001200,1657857376260
53015001300,10
53015001501,1073741824001
53015001503,1666447310852
53015001504,798863917061
53015001601,644245094403
53015001602,1408749273092
53015001700,1348619730951
53015001800,1537598291972
53015001900,584115552261
53015002001,369367187465
53015002003,463856467974
53015002004,154618822663
53015002100,721554505734
53015980000,541165879305
53017950101,773094113287
53017950102,901943132166
53017950200,515396075529
53017950300,807453851651
53017950400,936302870533
53017950500,412316860421
53017950600,206158430210
53017950700,1374389534728
53017950800,601295421450
53019940000,352187318282
53019970100,1245540515845
53019970200,1039382085640
53021020101,1640677507076
53021020102,1640677507080
53021020103,34359738373
53021020201,8589934603
53021020202,128849018886
53021020300,1408749273096
53021020401,17179869194
53021020402,120259084291
53021020403,1151051235336
53021020404,377957122060
53021020501,34359738372
53021020503,609885356035
53021020504,661424963591
53021020603,695784701958
53021020605,807453851648
53021020606,472446402566
53021020607,575525617668
53021020608,721554505736
53021020700,420906795018
53021020801,6
53021020802,1151051235335
53021980100,1030792151049
53023970300,1657857376266
53025010100,17179869191
53025010200,1597727834118
53025010300,1047972020233
53025010401,489626271752
53025010402,292057776132
53025010500,429496729607
53025010600,807453851652
53025010700,1357209665545
53025010800,412316860424
53025010901,1142461300740
53025010903,695784701956
53025010904,438086664195
53025011001,575525617666
53025011002,1425929142278
53025011101,300647710722
53025011102,395136991234
53025011200,1408749273093
53025011300,1468878815236
53025011401,1228360646666
53025011403,944892805127
53025011404,1425929142279
53025011405,1666447310855
53025011406,343597383685
53027000201,163208757253
53027000202,1005022347271
53027000300,1580547964938
53027000401,377957122056
53027000402,833223655431
53027000501,764504178698
53027000502,1082331758606
53027000600,1108101562373
53027000700,1228360646662
