city,zip_code,longitude,latitude,city_id
Edwall,99004,-117.57445,47.48928,1589137899524
Elbe,98330,-122.19367,46.76455,266287972353
Electric City,99123,-119.03591,47.93348,249108103169
Elk,99009,-117.27816,48.01723,1340029796355
Ellensburg,98926,-120.54872,46.99703,1511828488192
Elma,98541,-123.40382,47.00379,1675037245440
Elmer City,99124,-118.95343,47.99877,481036337158
Eltopia,99330,-119.01647,46.45698,592705486850
Endicott,99125,-117.68485,46.92752,146028888066
Entiat,98822,-120.20831,47.67562,1400159338499
Enumclaw,98022,-121.99136,47.20433,661424963584
Ephrata,98823,-119.55096,47.31909,549755813888
Ethel,98542,-122.7478,46.53239,60129542146
Ethel,98532,-122.96462,46.6621,1546188226562
Evans,99126,-118.02345,48.71331,670014898179
Everett,98206,-122.31902,48.01306,223338299393
Everett,98201,-122.20596,47.97659,1477468749824
Everett,98208,-122.18637,47.89251,1606317768705
Everett,98012,-122.21061,47.83448,120259084292
Everett,98203,-122.23019,47.94949,1657857376257
Everett,98204,-122.27557,47.88936,807453851648
Everson,98247,-122.34527,48.92009,893353197570
Fairchild Air Force Base,99011,-117.64458,47.64046,1099511627779
Fairfield,99012,-117.17125,47.38522,687194767364
Fall City,98024,-121.89086,47.56812,721554505729
Farmington,99128,-117.04546,47.08917,936302870532
Federal Way,98003,-122.3303,47.30151,438086664192
Federal Way,98422,-122.37684,47.28596,1185410973702
Federal Way,98001,-122.23035,47.3074,1443109011457
Federal Way,98023,-122.36321,47.3084,292057776128
Ferndale,98248,-122.5945,48.84787,927712935939
Fife,98424,-122.35686,47.23679,1589137899520
Fircrest,98466,-122.53166,47.23451,317827579905
Ford,99013,-117.80582,47.90886,1400159338503
Forks,98331,-124.38543,47.95014,953482739714
Fox Island,98333,-122.65107,47.27375,884763262976
Frances,98577,-123.72994,46.68867,1400159338502
Freeland,98249,-122.52664,48.00956,979252543488
Friday Harbor,98250,-123.01648,48.53448,1116691496961
Galvin,98544,-123.02628,46.74162,884763262978
Gardiner,98382,-123.10367,48.07965,1443109011462
Garfield,99130,-117.13359,47.00706,1082331758594
Gifford,99131,-118.13633,48.31085,1090921693187
Gig Harbor,98329,-122.6658,47.38336,1262720385025
Gig Harbor,98332,-122.58964,47.34235,403726925826
Gig Harbor,98335,-122.58009,47.328,1090921693184
Glacier,98244,-122.21723,48.82651,1408749273092
Glenoma,98336,-122.13017,46.53072,644245094401
Gold Bar,98251,-121.69743,47.85565,790273982466
Goldendale,98620,-120.82545,45.823,188978561025
Graham,98338,-122.29477,47.05703,1322849927169
Grand Coulee,99133,-119.00041,47.94283,197568495620
Grandview,98930,-119.90123,46.25606,506806140933
Granger,98932,-120.1871,46.33949,532575944705
Granite Falls,98252,-121.96931,48.08157,352187318273
Grapeview,98546,-122.82364,47.32767,1151051235328
Grayland,98547,-124.09366,46.80933,8589934592
Grays River,98621,-123.61022,46.35588,412316860419
Greenacres,99016,-117.1748,47.65699,841813590016
Greenacres,99023,-117.21611,47.56436,1305670057989
Greenacres,99019,-117.1015,47.66829,1357209665538
Greenbank,98253,-122.56817,48.08827,1099511627777
Hamilton,98255,-121.98741,48.51786,609885356033
Hansville,98340,-122.54758,47.91795,309237645313
Harrah,98933,-120.54352,46.40365,1460288880641
Harrington,99134,-118.25682,47.4829,1228360646656
Hartline,99135,-119.10557,47.69015,377957122050
Hatton,99344,-119.1742,46.82616,730144440323
Holden Village,98816,-120.01454,47.83985,154618822659
Hoodsport,98548,-123.14135,47.40639,910533066753
Hoquiam,98550,-123.88689,46.97982,17179869186
Hunters,99137,-118.20299,48.11777,979252543489
Hunts Point,98004,-122.1872,47.61001,919123001344
Husum,98672,-121.48704,45.72776,77309411330
Ilwaco,98624,-124.03547,46.3088,687194767362
Inchelium,99138,-118.19657,48.29812,1254130450436
Index,98294,-121.81688,47.8623,369367187461
Index,98256,-121.55352,47.82035,395136991234
Indianola,98342,-122.51843,47.7487,180388626432
Indianola,98370,-122.64681,47.73689,1254130450434
Ione,99139,-117.41793,48.74171,1133871366145
Issaquah,98006,-122.12096,47.55584,68719476736
Issaquah,98029,-122.00292,47.54748,429496729600
Issaquah,98027,-122.03439,47.5301,420906795008
Issaquah,98075,-122.03539,47.61344,1546188226561
Issaquah,98059,-122.15716,47.48852,1477468749825
Joint Base Lewis Mcchord,98433,-122.60761,47.08798,1374389534721
Joint Base Lewis Mcchord,98438,-122.50156,47.13872,51539607555
Kalama,98625,-122.84226,46.00813,1417339207680
